Il,Nufus,GSYH_Dolar,Issizlik_Orani,Sinema_Koltuk,Sinema_Seyirci,Tiyatro_Koltuk,Tiyatro_Seyirci,KB_Sinema_Koltuk,KB_Tiyatro_Koltuk,KB_Sinema_Seyirci,KB_Tiyatro_Seyirci
İSTANBUL,15701602,21741.0986674446,8.872989700365647,76258.0,9466089.0,78814.0,2320203.0,0.004856701883030789,0.005019487820414757,0.6028740888986996,0.14776855253368415
ANKARA,5864049,18655.2775250586,11.18578155886208,28355.0,3339008.0,20882.0,680878.0,0.004835396157160351,0.0035610207213479968,0.5694031547144303,0.11611055773920034
İZMİR,4493242,15369.1504897312,11.40671937009307,17818.0,2238265.0,28517.0,458206.0,0.0039655108716601505,0.006346642357567209,0.49814031828243394,0.10197670190032053
BURSA,3238618,13917.1282767627,8.260280791446144,10835.0,1422885.0,6884.0,397966.0,0.0033455628295773073,0.0021255980174259516,0.4393494385568165,0.12288142658380828
ANTALYA,2722103,14828.1151196091,7.353733967228088,10332.0,1406987.0,14857.0,221743.0,0.0037955948029887187,0.005457912503678222,0.5168750043624359,0.08146017986828566
KONYA,2330024,10312.5427166237,5.965841944731744,5353.0,523866.0,6173.0,180814.0,0.0022974012284852,0.0026493289339508948,0.22483287725791665,0.07760177577570017
ADANA,2280484,10284.4134777901,14.04314288812869,6567.0,607883.0,4376.0,119363.0,0.002879651863376371,0.0019188909021067458,0.2665587655953736,0.05234108198084266
ŞANLIURFA,2237745,4970.57681450664,9.922550972333347,2034.0,110137.0,1980.0,39420.0,0.0009089507517612596,0.0008848193158737926,0.049217851006258535,0.01761594819785096
GAZİANTEP,2193363,9880.12242363756,9.561494742831215,4769.0,451192.0,4470.0,43339.0,0.002174286700377457,0.002037966355774215,0.20570785592717666,0.019759155233310673
KOCAELİ,2130006,21984.8655811146,9.06121213167527,6715.0,901778.0,9282.0,228361.0,0.0031525732791363027,0.004357734203565624,0.42336876046358557,0.10721143508515939
MERSİN,1954279,12025.1700511927,7.0828385481601694,5684.0,633117.0,7817.0,65095.0,0.002908489524781262,0.0039999406430709225,0.32396449022887724,0.0333089594679163
DİYARBAKIR,1833684,5761.96033052103,11.89802232086652,5847.0,275402.0,2285.0,86805.0,0.0031886628230382115,0.0012461252865815485,0.15019054537204884,0.047339127134228144
HATAY,1562185,8843.49484479508,15.59902973096543,3198.0,189212.0,3902.0,29294.0,0.0020471327019527135,0.002497783553164318,0.12112009781171884,0.018751940391182862
MANİSA,1475353,12155.3947973921,6.269523994593973,4147.0,459926.0,3182.0,30511.0,0.0028108527247377407,0.002156771972538098,0.3117396311255679,0.020680474435609646
KAYSERİ,1452458,10995.939027262,9.548584047487058,4553.0,534057.0,6537.0,50757.0,0.003134686166484676,0.004500646490294384,0.3676918712967948,0.034945588788109536
SAMSUN,1382376,9189.31694938293,9.36826687461028,3661.0,368961.0,2076.0,56951.0,0.0026483388021782787,0.001501762183371239,0.2669035052691887,0.041197908528504544
